Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x20_Odd_Even","IDC-Header_2x20_P2.54mm_Vertical",-110.490000,-40.640000,180.000000,bottom
"C1","10uF","CP_EIA-2012-12_Kemet-R",116.587500,-34.290000,180.000000,top
"C2","10uF","CP_EIA-2012-12_Kemet-R",123.572500,-25.017500,90.000000,top
"D1","SMBJ5.0A-TR","SMBJ5.0A-TR",116.840000,-28.714700,-90.000000,top
"J2","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",111.760000,-17.780000,180.000000,top
"J3","Conn_01x01_Male","Pin_D1.0mm_L10.0mm",117.475000,-38.100000,0.000000,top
"J4","Screw_Terminal_01x02","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",134.620000,-26.002500,180.000000,top
"R1","5.1k","R_0805_2012Metric",110.490000,-26.312500,-90.000000,top
"R2","5.1k","R_0805_2012Metric",112.395000,-26.312500,-90.000000,top
"R3","0","R_0805_2012Metric",106.680000,-27.940000,-90.000000,top
"U1","Pico","RPi_Pico_SMD_TH",127.000000,-66.675000,180.000000,top
"U2","LT1086-3.3","LT1086",125.793500,-34.290000,-90.000000,top
"U3","DMG2305UX-13","DMG2305UX-13",106.680000,-33.020000,0.000000,top
